comment,label,language
tera mera afsana,0,1
listening this masterpiece today?,1,0
anyone today,1,0
i used to hear this after my breakup and i used to remember himbut as i am moving on i am starting to enjoy this song without thinking of someone its so relaxingi love the song,0,0
anyone 28 feb,1,0
lovely song in the world,0,0
night 11pm anyone,1,0
1:12 that feeling,0,0
this is not a song it is a feeling,0,0
anyone in 28 feb,1,0
this is for my friend komal sharma due to misunderstanding she lefts me and ihe take right decision every girl take same but in some day i am to much miss her she is to good i am tell her to much bull shit that she cant even digest i think i fell in love with you komal sharma this incident made me a man with dead heart for the 1 time i fell in love before that 4 5 girl purpose me but i like her and whom 1st time i like in my life would live this is my last i love you komal sharma and i am not have courage to tell you this life i have to much responsibilities to wards my my family and parents in next life i pray to god you are mine,0,0
ive been on this for last 3 months from dec 18 2025,0,0
talwinder fans like,1,0
nice song talwinder,0,0
not even indian even 0 people are love this song i love this song i am sinhala i mean sri lanka,0,0
who is listening during boards,1,0
my favourite singer talwinder and afusic love you,0,0
like this comment so i can come back to this masterpiec,1,0
everyone today,1,0
bhai new v songs add kar o,0,1
masterpiece,0,0
anyone 1 february,1,0
talwinder is love,0,0
actually the theme of this songs and composition combines and make it suitable for all those listeners who are suffering from relationship procrastinationif am not wrong,0,0
palpal man mera,0,1
any 01 march listeners,1,0
wow,0,0
botton for talwinder,1,0
one of the best songs,0,0
anyone on 28 february,1,0
bhai tujhe gana nahi ata kya,0,1
wow so nice song,0,0
01:12,0,0
hii,0,0
i am your big big big fan fan,0,0
2:46 tera mera afsanaaaa,0,1
02:48,0,0
2026 anyone,1,0
i am also because 10 exam has been ended,0,0
anyone 28 february,1,0
2:07 kinne sohne ne chehre ethe dil kyun nahi bharda,0,1
i have an exam in an hour today and i have come to hear this,1,0
the amount of chills this song gives when you hear it right after you wake up is just crazy,0,0
this song is masterpiece and talwinders part is cherry on top,0,0
hovaaan band kamre vich kalla,0,1
armaan malik but neeraj sridhar,0,0
anyone in class 12,1,0
students few hours before sanskrit,1,0
bro be focused on goal because listening music doesnt give money,0,0
when no one with you then this song hit different,0,0
all losers think they are great after listening this type of songs i mean dude wo move on kar gyi nhi aayegi tm pare hoye ho whi more pai tmse bara loser kon h loser esiliye chir gyi tmko shi hi usne and vice versa for female jane wala gya tm kb life mai aage badho ge,0,2
my friend song,0,0
its my favourite,0,0
02:12,0,0
mere khwabon mein aa na kakry sola singhaar,0,1
talwinder the best,0,0
mood off,0,0
i am obsessed with this song,0,0
01:03,0,0
only 3m needs for 200m views guys please give 200m views,0,0
you are the best talvinder,0,0
my favourite song ever isase badhiya gana pure duniya mein nahin hai,0,2
2026,1,0
pura hurya badal jana,0,1
what a song,0,0
anyone 2722026,1,0
27-Feb,1,0
anu one february 27,1,0
why affan hits hards always,0,0
talwinder songs are like heaven,0,0
cant really move on from this song,0,0
im in lov with thisss song so addicted to it i cant tell a fav part of this song bcs all the lines are my favv this is the bestt song everr i have heard,0,0
song masterpiece,0,0
my life ka best song,0,2
1 din me 50 time dekha,0,1
2:27 to 2:45,0,0
mera to man nhi karta song pe se dil hatau,0,1
soneya yu tera sharmana,0,1
01:49,0,0
everyones life described in one song,0,0
kon kon student hai,1,1
am just addict with this song,0,0
